date,average_price,residual_interpolated
2014-01-31,1497.6190476190477,
2014-02-28,1221.7391304347825,
2014-03-31,1350.0,
2014-04-30,1100.0,
2014-05-31,1615.7894736842106,
2014-06-30,1220.4545454545455,
2014-07-31,1124.0740740740741,-131.9982919095018
2014-08-31,1350.9259259259259,126.50820873489252
2014-09-30,1249.0384615384614,43.15665708487508
2014-10-31,1040.0,-166.96611758793946
2014-11-30,1167.857142857143,-32.85700155442448
2014-12-31,1038.6363636363637,-113.49017798923342
2015-01-31,1256.896551724138,-13.290235940934252
2015-02-28,1236.5384615384614,1.3381278561045455
2015-03-31,1191.6666666666667,36.4357732415437
2015-04-30,1214.2857142857142,-38.30167166178234
2015-05-31,775.0,-8.911146678164616
2015-06-30,1231.4814814814815,-55.97698143004292
2015-07-31,1366.6666666666667,41.22852551234821
2015-08-31,1201.923076923077,-113.29510693757751
2015-09-30,1338.6363636363637,23.929476730388515
2015-10-31,1478.75,141.80412432130052
2015-11-30,1539.2857142857142,182.6249755351575
2015-12-31,1259.090909090909,-68.80815458063603
2016-01-31,1427.7777777777778,-10.546689923400407
2016-02-29,1354.1666666666667,-49.03003003547913
2016-03-31,1363.095238095238,41.156164917675994
2016-04-30,1506.5217391304348,133.34727455160038
2016-05-31,1404.4642857142858,46.85145799330601
2016-06-30,1273.076923076923,-45.9042626828331
2016-07-31,1395.4545454545455,55.797072345902805
2016-08-31,1263.3333333333333,-46.25193766388301
2016-09-30,1186.904761904762,-94.33128097171867
2016-10-31,1051.923076923077,-205.4362487315726
2016-11-30,1351.0416666666667,107.2128962363028
2016-12-31,1326.923076923077,119.5685205759305
2017-01-31,1336.0,37.216489161336796
2017-02-28,1258.0,14.32124151235045
2017-03-31,1080.2083333333333,-95.10088576781646
2017-04-30,1146.2962962962963,-121.80760560916741
2017-05-31,1376.0,84.09112933578538
2017-06-30,1275.0,14.050294468281965
2017-07-31,1008.0,-277.32484842320986
2017-08-31,1261.5384615384614,-12.695500910887947
2017-09-30,1407.6923076923076,130.3199741573443
2017-10-31,1250.0,-53.628576783955026
2017-11-30,1482.6923076923076,166.90454910503894
2017-12-31,1259.0,-23.943466665223013
2018-01-31,1468.75,55.50916995329956
2018-02-28,1392.857142857143,-3.6255013733289907
2018-03-31,1322.0,4.8729900461079865
2018-04-30,1464.5833333333333,84.2102019171669
2018-05-31,1285.576923076923,-87.42245055581631
2018-06-30,1426.0,103.61670923479944
2018-07-31,1404.3103448275863,72.61864651887943
2018-08-31,1396.2962962962963,90.96666070137613
2018-09-30,1228.2608695652175,-75.22214313553069
2018-10-31,1139.1304347826087,-164.25166033782338
2018-11-30,1175.0,-125.77693974455345
2018-12-31,1158.6538461538462,-102.69523939759938
2019-01-31,1272.3214285714287,-80.55236342073428
2019-02-28,1490.3846153846155,184.12748388109245
2019-03-31,1481.4814814814815,262.75097594568473
2019-04-30,1232.608695652174,-60.06332555012268
2019-05-31,1391.0714285714287,84.68078380202499
2019-06-30,1223.076923076923,-47.840648592951005
2019-07-31,1224.0,-65.53610957631274
2019-08-31,1391.0714285714287,138.53604560726504
2019-09-30,992.7083333333334,-225.02689112013263
2019-10-31,1341.0714285714287,127.40685051170445
2019-11-30,1060.7142857142858,-166.16120872992502
2019-12-31,1228.3333333333333,36.05051829325089
2020-01-31,1129.3103448275863,-167.93433925323163
2020-02-29,1279.1666666666667,24.650271122898328
2020-03-31,1158.8235294117646,-25.653321403623806
2020-04-30,1387.5,107.51041379245368
2020-05-31,1489.2857142857142,190.0657273054433
2020-06-30,1143.4782608695652,-131.66775930611598
2020-07-31,1242.857142857143,-73.70614022018155
2020-08-31,1280.0,-30.25676946003532
2020-09-30,1282.6923076923076,-19.840898001996365
2020-10-31,1535.1851851851852,224.99922602749794
2020-11-30,1086.5384615384614,-231.1858596558862
2020-12-31,1431.4814814814815,134.08440630218797
2021-01-31,1400.0,-30.19878237100872
2021-02-28,1390.909090909091,-6.091908877248972
2021-03-31,1163.0434782608695,-154.0802745687634
2021-04-30,1496.875,125.86247943863492
2021-05-31,1496.875,135.85701288536214
2021-06-30,1496.875,170.52385923568235
2021-07-31,1496.875,158.53496397002147
2021-08-31,1162.5,-147.90203699760818
2021-09-30,1343.0,40.81666293701268
2021-10-31,960.0,-33.673650145172104
2021-11-30,1180.2631578947369,-108.16396322735689
2021-12-31,1312.5,72.36283624561725
2022-01-31,1286.5384615384614,-53.41537662640823
2022-02-28,1367.6470588235295,59.495055441130646
2022-03-31,1290.3846153846155,51.387008280190855
2022-04-30,1278.5714285714287,-61.023077095407594
2022-05-31,1341.9642857142858,-54.74996923414116
2022-06-30,1341.6666666666667,-43.501417957817615
2022-07-31,1467.857142857143,53.64759208109338
2022-08-31,1361.5384615384614,-27.547175629597266
2022-09-30,1344.1176470588234,-16.86528840777224
2022-10-31,1565.0,210.27044294726934
2022-11-30,1704.5454545454545,121.2585016156806
2022-12-31,1317.857142857143,32.246560284091856
2023-01-31,1458.0,65.08514381011267
2023-02-28,1127.0,-226.01234604111582
2023-03-31,1157.8947368421052,-122.59603720459614
2023-04-30,1190.909090909091,-170.5622962969723
2023-05-31,957.1428571428571,-67.34484788978595
2023-06-30,1325.0,35.87260051740039
2023-07-31,1480.0,165.8190269080756
2023-08-31,1325.0,21.018049763170577
2023-09-30,1500.0,192.144167934645
2023-10-31,1544.4444444444443,226.19526306892377
2023-11-30,1170.5882352941176,-160.35488171113712
2023-12-31,1235.2272727272727,-86.29536586127165
2024-01-31,1621.7391304347825,197.20742181808353
2024-02-29,1252.2727272727273,
2024-03-31,1426.923076923077,
2024-04-30,1101.25,
2024-05-31,1287.5,
2024-06-30,1617.391304347826,
2024-07-31,1080.0,
